ng-3-0_0_0_1_1_0,ng-3-0_0_0_1_1_0-cum,ng-3-0_0_0_1_1_0-tier,ng-3-0_0_0_0_1_0,ng-3-0_0_0_0_1_0-cum,ng-3-0_0_0_0_1_0-tier,ng-3-2_0_0_1_1_0,ng-3-2_0_0_1_1_0-cum,ng-3-2_0_0_1_1_0-tier,ng-3-2_0_0_0_1_0,ng-3-2_0_0_0_1_0-cum,ng-3-2_0_0_0_1_0-tier,ng-3-0_1_0_0_1_0,ng-3-0_1_0_0_1_0-cum,ng-3-0_1_0_0_1_0-tier,ng-3-0_1_0_1_1_0,ng-3-0_1_0_1_1_0-cum,ng-3-0_1_0_1_1_0-tier
,,,-511.3913937080415,0.0,2.0,-219.4584119441271,0.0,3.0,-169.416244812354,0.0,3,-506.19535022158755,0.0,2.0,-181.51084827746052,0.0,3.0
,,,-178.70469894412722,1.1764705882352942,3.0,-189.72050200653513,2.6315789473684212,3.0,-124.75992264568742,0.06157635467980296,3,-253.60330188825432,3.125,2.0,-150.98025667320186,100.0,3.0
,,,-154.26130527746054,2.3529411764705883,3.0,-50.48610261451039,5.2631578947368425,4.0,-99.301102062354,0.12315270935960591,3,-181.51084827746052,6.25,3.0,,,
,,,-133.83534156235396,3.5294117647058822,3.0,-44.74517469784363,7.894736842105264,4.0,-99.30110206235395,0.18472906403940886,3,-164.8879039441271,9.375,3.0,,,
,,,-126.15345461079382,4.705882352941177,3.0,-43.29633561451033,10.526315789473685,4.0,-95.76446389568736,0.24630541871921183,3,-150.98025667320186,12.5,3.0,,,
,,,-106.50317961079381,5.882352941176471,3.0,-42.05615011451034,13.157894736842106,4.0,-92.37843361079385,0.3078817733990148,3,-105.85376997902074,15.625,3.0,,,
,,,-95.76446389568741,7.0588235294117645,3.0,-31.550093781176997,15.789473684210527,4.0,-92.37843361079385,0.3694581280788177,3,-103.87704761079378,18.75,3.0,,,
,,,-95.76446389568734,8.23529411764706,3.0,-29.382166614510357,18.42105263157895,4.0,-92.37843361079383,0.4310344827586207,3,-95.76446389568746,21.875,3.0,,,
,,,-95.76446389568731,9.411764705882353,3.0,-27.849246697843668,21.05263157894737,4.0,-92.37843361079382,0.49261083743842365,3,-95.76446389568738,25.0,3.0,,,
,,,-92.37843361079385,10.588235294117647,3.0,-24.82973200326757,23.68421052631579,4.0,-92.37843361079382,0.5541871921182266,3,-95.76446389568727,28.125,3.0,,,
,,,-92.3784336107938,11.764705882352942,3.0,-24.694303972063548,26.315789473684212,4.0,-92.3784336107938,0.6157635467980296,3,-92.37843361079375,31.25,3.0,,,
,,,-92.37843361079378,12.941176470588236,3.0,-24.0410783053969,28.947368421052634,4.0,-92.37843361079379,0.6773399014778325,3,-91.11922794412716,34.375,3.0,,,
,,,-92.37843361079375,14.117647058823529,3.0,-19.35689167320187,31.578947368421055,3.0,-92.37843361079376,0.7389162561576355,3,-90.40038861079391,37.5,3.0,,,
,,,-92.37843361079372,15.294117647058824,3.0,-15.729014947843698,34.21052631578948,4.0,-90.40038861079384,0.8004926108374384,3,-90.40038861079385,40.625,3.0,,,
,,,-92.37843361079372,16.47058823529412,3.0,-11.653488638730254,36.8421052631579,4.0,-89.86742272902079,0.8620689655172414,3,-90.40038861079383,43.75,3.0,,,
